SiteName	Subnets														
MDYSB1SITE	10.95.60.0/22	 192.168.124.0/24	 10.139.0.0/16	 192.168.128.0/24	 10.75.0.0/16	 10.95.63.0/24	 10.203.0.0/16	 141.160.181.0/24	 10.131.192.0/19	 10.95.36.0/24	 10.195.192.0/19	 10.3.192.0/19	 141.160.223.0/24	 141.160.220.0/23	 10.67.192.0/19
MDYAPCSITE	10.12.64.84/32	 10.12.64.43/32	 10.12.64.86/32	 10.12.64.44/32	 10.12.64.37/32	 10.12.64.88/32	 10.83.96.0/20								
MDYSOVSITE	10.135.96.0/19	 10.199.96.0/19	 10.7.96.0/19	 10.71.96.0/19											
MDYCARSITE	10.9.224.0/19	 10.201.224.0/19	 10.137.224.0/19	 10.73.224.0/19											
MDYEMEASITE	172.17.6.224/28	 172.18.63.0/25	 172.19.135.0/24	 100.65.242.0/23	 100.65.248.0/23	 100.65.250.0/23	 100.67.160.0/23	 100.83.160.0/23	 100.99.160.0/23	 100.115.160.0/23	 100.100.64.0/23	 100.114.64.0/23			
MDYBDFSITE	100.83.224.0/19	 100.99.224.0/19	 100.115.224.0/19	 172.17.6.240/28	 172.18.63.128/25	 172.19.136.0/24	 100.112.32.0/19	 100.64.32.0/19	 100.80.32.0/19	 100.96.32.0/19	 172.17.6.16/28	 172.18.56.128/25	 172.19.122.0/24		
MDYTESTSITE	10.13.248.64/26	 10.6.232.64/26													
MDYNASITE	10.69.160.0/19	 10.38.96.0/20	 10.51.240.0/23	 10.61.128.0/20	 10.63.246.0/23										
MDYTCSSITE	10.4.64.0/21	 10.196.64.0/21	 10.68.64.0/21	 10.132.64.0/21											
MDYCGOSITE	10.130.96.0/19	 10.194.96.0/19	 10.2.96.0/19	 10.66.96.0/19											
MDYBCRSITE	10.3.32.0/19	 172.17.6.144/28	 172.17.6.160/28	 172.18.60.128/25	 172.18.61.0/25	 172.19.130.0/24	 100.66.32.0/23	 100.66.48.0/23	 100.66.52.0/23	 100.66.60.0/23	 100.82.32.0/23	 100.98.32.0/23	 100.114.32.0/23		
MDYSYDSITE	10.129.0.0/19	 10.1.0.0/19	 10.65.0.0/19	 10.132.188.0/24	 10.193.10.0/23	 10.1.30.0/26	 10.1.28.0/23	 10.1.31.0/25							
MDYCSISITE	10.3.128.0/19	 10.131.128.0/19	 10.3.64.0/19	 10.67.128.0/19	 10.131.64.0/19	 10.99.10.0/24	 10.99.14.0/24	 10.99.11.0/24	 10.195.128.0/19	 10.99.13.0/24	 10.99.12.0/24	 10.195.64.0/19	 10.67.64.0/19		